uniqueID;Spec;Plotname;DBH;CBH1;CBH2;CD1;CD2;meanCD;State;SpecGroup;Height;realX;realY;realZ
BR01_1;FagSyl;BR01;33,7;2;2;7,32;9,2;8,26;alive;Broad-leaved;25,61080775;476710,3144;5429025,536;255,01
BR01_10;FagSyl;BR01;28;1,4;1,4;10,32;8,38;9,35;alive;Broad-leaved;23,53733398;476730,9903;5429027,393;259,22
BR01_100;AcePse;BR01;6,8;7,6;7,6;3,3;5;4,15;alive;Broad-leaved;12,457;476756,9903;5429089,256;257,053009
BR01_101;QuePet;BR01;7,2;10,7;10,7;2,4;3,5;2,95;alive;Broad-leaved;8,020609407;476751,2822;5429088,974;255,84
BR01_102;QuePet;BR01;9,7;10,6;10,6;2,3;3,3;2,8;alive;Broad-leaved;12,829;476756,1011;5429091,818;256,421387
BR01_103;PicAbi;BR01;25,5;0,3;8,3;4,8;4;4,4;alive;Coniferous;20,108;476754,3703;5429088,261;256,625854
BR01_104;PicAbi;BR01;15;0,4;8,8;4,3;3,7;4;alive;Coniferous;15,591;476752,3553;5429084,517;256,81308
BR01_105;PicAbi;BR01;17,8;1,9;9,7;3,2;3,6;3,4;alive;Coniferous;16,98;476751,4017;5429082,236;257,0225
BR01_106;PicAbi;BR01;23,1;0,4;9,2;4;3,7;3,85;alive;Coniferous;18,649;476751,0275;5429085,609;256,337799
BR01_107;PicAbi;BR01;14,2;1,2;7,9;3;4;3,5;alive;Coniferous;13,18603497;476744,082;5429084,618;255,08
BR01_108;PicAbi;BR01;14,3;0,6;9,8;2,7;3;2,85;alive;Coniferous;13,27140731;476744,7783;5429086,142;255,15
BR01_109;PicAbi;BR01;21,2;1,1;9,5;4,1;3,7;3,9;alive;Coniferous;18,49813911;476742,7793;5429088,616;254,38
BR01_11;FagSyl;BR01;28,9;1,1;1,1;9,53;9,7;9,615;alive;Broad-leaved;23,89866604;476725,5481;5429029,755;257,74
BR01_110;PicAbi;BR01;18;0,6;10;3,5;2,7;3,1;alive;Coniferous;16,23303296;476744,0217;5429088,104;254,66
BR01_111;QuePet;BR01;13,6;10,1;10,1;3,3;3,4;3,35;alive;Broad-leaved;14,5700264;476745,5828;5429089,303;254,76
BR01_112;PicAbi;BR01;22,8;0,4;10,6;4;4,2;4,1;alive;Coniferous;18,986;476751,0925;5429089,539;255,746429
BR01_113;QuePet;BR01;6,7;7,7;7,7;2,7;3,5;3,1;alive;Broad-leaved;7,445713625;476745,0381;5429092,161;254,28
BR01_115;QuePet;BR01;11,9;8;8;2,9;5,3;4,1;alive;Broad-leaved;12,99704959;476747,5254;5429091,143;254,92
BR01_116;PicAbi;BR01;19,4;0,3;4;5,1;4,3;4,7;alive;Coniferous;17,172;476754,0738;5429090,676;256,196259
BR01_117;QuePet;BR01;12,9;11,4;11,4;3,1;4,6;3,85;alive;Broad-leaved;14,503;476752,8213;5429093,478;255,525818
BR01_118;PicAbi;BR01;18;0,3;9,2;4;2,9;3,45;alive;Coniferous;16,23303296;476740,8933;5429082,469;254,9
BR01_119;PicAbi;BR01;19,1;0,4;8,9;3,7;3;3,35;alive;Coniferous;17,04132967;476742,6923;5429081,212;255,37
BR01_12;PicAbi;BR01;10,4;1,3;1,3;3,01;3,26;3,135;alive;Coniferous;9,74110041;476717,83;5429038,516;255,29
BR01_120;PicAbi;BR01;16,3;0,5;7,8;2,8;3,1;2,95;alive;Coniferous;14,91964396;476742,6931;5429079,953;255,53
BR01_121;PicAbi;BR01;13,3;0,7;8,4;2,5;2,7;2,6;alive;Coniferous;12,40505874;476741,2003;5429078,888;255,38
BR01_122;PicAbi;BR01;19;0,9;8;2,9;3,3;3,1;alive;Coniferous;18,11;476743,8078;5429078,506;256,011505
BR01_123;PicAbi;BR01;15,4;0,4;8,8;3,4;3,7;3,55;alive;Coniferous;14,19187954;476742,516;5429076,515;255,93
BR01_124;PicAbi;BR01;12,4;1,7;9,9;2;3;2,5;alive;Coniferous;11,60167777;476744,1785;5429077,364;256,08
BR01_126;PicAbi;BR01;18,6;1,4;9,3;3,5;3,3;3,4;alive;Coniferous;17,808;476750,032;5429078,848;257,055634
BR01_127;PicAbi;BR01;16,1;0,7;9,8;2,4;3,2;2,8;alive;Coniferous;17,641;476748,712;5429081,366;256,470215
BR01_128;PicAbi;BR01;17,6;1,1;9,8;2,7;2,2;2,45;alive;Coniferous;16,477;476748,9963;5429083,163;256,386078
BR01_129;QuePet;BR01;10,9;5,8;9,5;3,3;4,9;4,1;alive;Broad-leaved;13,708;476750,6058;5429080,434;256,971252
BR01_13;FagSyl;BR01;6,4;0,5;0,5;4,48;4,36;4,42;alive;Broad-leaved;7,659836986;476721,2528;5429033,841;256,25
BR01_130;CarBet;BR01;9,9;1,4;3,5;5,1;4,8;4,95;alive;Broad-leaved;10,03753379;476742,2878;5429035,347;260,33
BR01_131;CarBet;BR01;20,2;1,4;1,4;10,6;8,4;9,5;alive;Broad-leaved;16,73353219;476742,5208;5429039,924;259,89
BR01_132;CarBet;BR01;19,1;2,3;2,3;7,1;7,6;7,35;alive;Broad-leaved;14,694;476746,5988;5429038,207;260,79007
BR01_133;AcePse;BR01;9,2;5,7;5,7;4,1;3,7;3,9;alive;Broad-leaved;12,792;476747,765;5429039,229;260,957489
BR01_134;CarBet;BR01;5,2;5,2;5,2;3,7;3,6;3,65;alive;Broad-leaved;5,520418712;476744,8951;5429041,903;260,1
BR01_135;CarBet;BR01;7,7;0,8;1,8;5,9;5,4;5,65;alive;Broad-leaved;8,038302971;476746,6851;5429041,549;260,48
BR01_136;CarBet;BR01;8,7;2,8;2,8;6,2;5,1;5,65;alive;Broad-leaved;12,128;476749,2355;5429039,901;260,96817
BR01_137;CarBet;BR01;6,5;1,3;1,3;4,2;4,5;4,35;alive;Broad-leaved;6,856625673;476748,214;5429040,545;260,69
BR01_138;CarBet;BR01;14,8;3,1;4,4;6,9;9,2;8,05;alive;Broad-leaved;13,939;476748,1525;5429035,784;261,31543
BR01_139;CarBet;BR01;9;6,7;6,6;5,6;5,2;5,4;alive;Broad-leaved;13,876;476749,9008;5429030,907;262,113953
BR01_14;AceCam;BR01;41,5;1,1;1,1;12,4;9,8;11,1;alive;Broad-leaved;17,921;476725,5007;5429046,888;255,964981
BR01_141;FagSyl;BR01;11,8;3,9;3,9;8;3,7;5,85;alive;Broad-leaved;13,94;476751,6825;5429031,84;262,279449
BR01_142;CarBet;BR01;9,9;0,5;0,5;5,7;6,9;6,3;alive;Broad-leaved;11,044;476752,5961;5429034,38;262,277191
BR01_143;CarBet;BR01;11,7;1,2;1,2;8,3;6,1;7,2;alive;Broad-leaved;11,50521954;476754,3768;5429025,87;263,34
BR01_144;FagSyl;BR01;10,6;2;2;7,3;5,9;6,6;alive;Broad-leaved;12,28030316;476756,1454;5429028,747;263,36
BR01_145;PseMen;BR01;57,9;15,8;15,8;11,1;9,7;10,4;alive;Coniferous;34,701;476752,0873;5429028,28;262,758423
BR01_146;CarBet;BR01;13,1;1,8;1,8;8;7,5;7,75;alive;Broad-leaved;13,004;476752,5758;5429030,977;262,555786
